BILL DATE,CUSTOMER,mat,QUANTITY,region,MATERIAL description
05-02-2020,A ONE ISPAT PVT LTD,SILICO MANGANESE  Mn 60% - 65%,25,Andhra Pradesh ,SILICO MANGANESE Mn 60% - 65%
25-01-2020,A ONE ISPAT PVT LTD,SILICO MANGANESE  Mn 60% - 65%,30,Andhra Pradesh ,SILICO MANGANESE Mn 60% - 65%
04-03-2020,A ONE STEEL AND ALLOYS PVT LTD,SILICO MANGANESE  Mn 60% - 65%,30,Karnataka ,SILICO MANGANESE Mn 60% - 65%
24-01-2020,A ONE STEEL AND ALLOYS PVT LTD,SILICO MANGANESE  Mn 60% - 65%,30,Karnataka ,SILICO MANGANESE Mn 60% - 65%
21-01-2020,A ONE STEEL AND ALLOYS PVT LTD,SILICO MANGANESE  Mn 60% - 65%,30,Karnataka ,SILICO MANGANESE Mn 60% - 65%
04-01-2020,A ONE STEEL AND ALLOYS PVT LTD,SILICO MANGANESE  Mn 60% - 65%,30,Karnataka ,SILICO MANGANESE Mn 60% - 65%
28-12-2019,A ONE STEEL AND ALLOYS PVT LTD,SILICO MANGANESE  Mn 60% - 65%,30,Karnataka ,SILICO MANGANESE Mn 60% - 65%
18-02-2020,A ONE STEELS INDIA (PVT) LTD,SILICO MANGANESE  Mn 60% - 65%,30,Andhra Pradesh ,SILICO MANGANESE Mn 60% - 65%
07-02-2020,A ONE STEELS INDIA (PVT) LTD,SILICO MANGANESE  Mn 60% - 65%,30,Andhra Pradesh ,SILICO MANGANESE Mn 60% - 65%
27-01-2020,A ONE STEELS INDIA (PVT) LTD,SILICO MANGANESE  Mn 60% - 65%,30,Andhra Pradesh ,SILICO MANGANESE Mn 60% - 65%
20-03-2020,AGARWAL INDUCTION FURNACE PVT LTD,SILICO MANGANESE  Mn 60% - 65%,30,Andhra Pradesh ,SILICO MANGANESE Mn 60% - 65%
13-03-2020,AGARWAL INDUCTION FURNACE PVT LTD,SILICO MANGANESE  Mn 60% - 65%,30,Andhra Pradesh ,SILICO MANGANESE Mn 60% - 65%
11-06-2019,AGRA CASTINGS PVT LTD,SILICO MANGANESE DOMESTIC,24.1,Tamil Nadu ,SILICO MANGANESE DOMESTIC
25-04-2020,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE  Mn 60% - 65%,27,Dubai ,SILICO MANGANESE Mn 60% - 65%
25-04-2020,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE  Mn 60% - 65%,27,Dubai ,SILICO MANGANESE Mn 60% - 65%
25-04-2020,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE  Mn 60% - 65%,27,Dubai ,SILICO MANGANESE Mn 60% - 65%
25-04-2020,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE  Mn 60% - 65%,27,Dubai ,SILICO MANGANESE Mn 60% - 65%
24-01-2020,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE  Mn 65% to 70%,27,Dubai ,SILICO MANGANESE Mn 65% to 70%
24-01-2020,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE  Mn 65% to 70%,27,Dubai ,SILICO MANGANESE Mn 65% to 70%
24-01-2020,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE  Mn 65% to 70%,27,Dubai ,SILICO MANGANESE Mn 65% to 70%
24-01-2020,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE  Mn 65% to 70%,27,Dubai ,SILICO MANGANESE Mn 65% to 70%
24-01-2020,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE  Mn 65% to 70%,27,Dubai ,SILICO MANGANESE Mn 65% to 70%
24-01-2020,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE  Mn 65% to 70%,27,Dubai ,SILICO MANGANESE Mn 65% to 70%
19-06-2019,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE DOMESTIC,27,Dubai ,SILICO MANGANESE DOMESTIC
19-06-2019,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE DOMESTIC,27,Dubai ,SILICO MANGANESE DOMESTIC
19-06-2019,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE DOMESTIC,27,Dubai ,SILICO MANGANESE DOMESTIC
18-06-2019,ARABIAN GULF STEEL INDUSTRIES LLC,SILICO MANGANESE DOMESTIC,27,Dubai ,SILICO MANGANESE DOMESTIC
